Bracknell,South East,78978,54350,0.688166325,0.586826127,0.221987121,0.142575897,0,0.038436063,0,0,0,0,0,0,0,0.010174793,0,0.091459283,0.162522825,0.192232162,0.187960081,0.1613859,0.204439749
Bradford East,Yorkshire and The Humber,73206,44184,0.603557085,0.219106464,0.629752852,0.075049792,0.061108093,0.014982799,0,0,0,0,0,0,0,0,0,0.134351509,0.200334089,0.200393748,0.170361532,0.137752058,0.156807064
Bradford South,Yorkshire and The Humber,69046,39741,0.575572807,0.403714048,0.462746282,0.03787021,0.0709343,0.02473516,0,0,0,0,0,0,0,0,0,0.104881343,0.175844106,0.18374172,0.176062769,0.161978262,0.1974918
Bradford West,Yorkshire and The Humber,70694,44261,0.626092738,0.151758885,0.762206005,0.030478299,0.035155103,0.018368315,0,0,0,0,0,0,0,0.002033393,0,0.167214295,0.203299702,0.207804572,0.1619083,0.117683939,0.142089192
Braintree,East,75208,50499,0.671457824,0.675498525,0.186914592,0.094635537,0,0,0,0,0,0,0,0,0,0.042951346,0,0.083890858,0.140059414,0.150881222,0.187902541,0.172674622,0.264591343
Brecon and Radnorshire,Wales,55490,41319,0.744620652,0.53142622,0.095452455,0.358842179,0,0,0,0,0,0,0,0,0,0.014279145,0,0.073270819,0.112054063,0.110185622,0.157647511,0.193706672,0.353135314
Brent Central,London,84032,49132,0.584682026,0.222034519,0.646808597,0.098591549,0,0.032565334,0,0,0,0,0,0,0,0,0,0.127470629,0.214850048,0.196162788,0.167766703,0.144278474,0.149471359
Brent North,London,83788,51879,0.61916981,0.362998516,0.518726267,0.078355404,0.018331117,0.016384279,0,0,0,0,0,0,0,0.005204418,0,0.108567373,0.188223629,0.199033704,0.162112242,0.149221811,0.192841242
Brentford and Isleworth,London,85775,58326,0.679988342,0.321503275,0.501765936,0.125398622,0.01997394,0.031358228,0,0,0,0,0,0,0,0,0,0.092239978,0.200431588,0.226459936,0.178110711,0.135047009,0.167710779
Brentwood and Ongar,East,75255,52949,0.703594446,0.685716444,0.136792007,0.135734386,0,0.031709758,0,0,0,0,0,0,0,0.010047404,0,0.082629682,0.14691456,0.155358374,0.178829315,0.172844485,0.263423583
Bridgend,Wales,63303,42236,0.667203766,0.430746283,0.40335259,0.056065915,0.042878113,0.019296335,0,0.047660763,0,0,0,0,0,0,0,0.091508632,0.159862917,0.154290322,0.168689792,0.163232393,0.262415943
